tract,below_fpl,below_200fpl,fpl_universe,below_fpl_pct,below_200fpl_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037101110,476,887,4068,11.7,21.8,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7337,12329806.2148438,14765.6490038758
06037101122,266,590,4166,6.4,14.2,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7338,29088657.1923828,30028.2137708717
06037101220,610,894,3434,17.8,26,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7339,7532651.15527344,12504.5521301933
06037101221,555,1351,3881,14.3,34.8,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7340,3874399.41796875,8938.42134861514
06037101222,356,942,2564,13.9,36.7,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7341,3090537.72753906,9750.96042020995
06037101300,323,771,4165,7.8,18.5,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7342,27694822.4121094,28700.8705710272
06037101400,239,1204,3485,6.9,34.5,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7343,67867979.1171875,41887.3323731771
06037102103,184,673,2054,9,32.8,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7344,12811195.3740234,16198.5518254667
06037102104,190,547,3828,5,14.3,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7345,17933361.9628906,27118.7081563965
06037102105,156,440,1664,9.4,26.4,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7346,5257057.125,9952.66420243989
06037102107,483,847,3479,13.9,24.3,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7347,139121771.666016,63442.6564858111
06037103101,110,528,2705,4.1,19.5,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7348,21327764.9394531,24165.7669241483
06037103102,489,1293,4439,11,29.1,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7349,13323875.8798828,16273.2413130881
06037103201,444,1206,4305,10.3,28,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7350,21040409.2324219,18173.2239589304
06037103202,48,251,1940,2.5,12.9,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,7351,51185007.7939453,44562.150658153
06037103300,342,648,4010,8.5,16.2,District 5,Los Angeles - Shadow Hills,SPA 2 - San Fernando,7352,66024681.0556641,37007.098020571
06037103401,139,634,2552,5.4,24.8,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7353,15045317.2578125,20208.4809663066
06037103402,324,963,3750,8.6,25.7,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7354,11987350.8457031,14259.8471616325
06037104103,488,1067,4092,11.9,26.1,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,7355,10007491.6875,12992.0373117186
06037104105,1296,2164,5887,22,36.8,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7356,6295469.3984375,11639.6968948502
06037104108,684,1636,4952,13.8,33,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7357,11698537.2763672,18498.0049415872
06037104124,362,1215,4063,8.9,29.9,District 5,Unincorporated - Kagel/Lopez Canyons,SPA 2 - San Fernando,7358,47953358.1806641,37473.8141348432
06037104201,471,1041,4325,10.9,24.1,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7359,11778994.3974609,14691.8972461659
06037104203,1063,2459,4845,21.9,50.8,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7360,7619758.296875,11052.5266501792
06037104204,481,1283,3382,14.2,37.9,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,7361,28691700.7539063,29780.4311142764
06037104310,543,1439,4411,12.3,32.6,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7362,16008672.9794922,19026.1836900057
06037104321,458,970,2926,15.7,33.2,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7363,5595372.671875,10641.697631319
06037104322,143,713,1844,7.8,38.7,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7364,7498677.06640625,14606.3833433496
06037104401,671,1301,3083,21.8,42.2,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7365,7474268.68945313,12419.644324963
06037104403,506,779,2232,22.7,34.9,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7366,7398381.78320313,16067.758161955
06037104404,472,1463,3328,14.2,44,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7367,5808075.99707031,10935.7071888996
06037104500,1187,1841,3507,33.8,52.5,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7368,5715318.89160156,11300.664483623
06037104610,266,1111,3053,8.7,36.4,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7369,6371675.47460938,11599.2417873073
06037104620,632,1280,3222,19.6,39.7,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7370,5716579.41699219,11300.4360398197
06037104701,1184,2690,3904,30.3,68.9,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7371,5925369.99023438,11097.7272401209
06037104703,409,946,2306,17.7,41,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7372,12497379.4765625,15258.6129943213
06037104704,1085,2239,4580,23.7,48.9,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7373,17921965.6357422,16919.1964901945
06037104821,558,1291,3403,16.4,37.9,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7374,5724316.27636719,11302.2406259718
06037104822,603,1201,2199,27.4,54.6,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7375,6475210.70605469,13768.6387256463
06037104823,707,1703,3195,22.1,53.3,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7376,5718934.2578125,11300.8023205029
06037104824,272,560,2582,10.5,21.7,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7377,6374083.48828125,11599.6779386916
06037106010,208,688,4037,5.2,17,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7378,27335436.6582031,23881.0654786666
06037106020,842,1493,4847,17.4,30.8,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7379,21441404.3994141,22165.1278355623
06037106111,228,741,4698,4.9,15.8,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7380,29954716.9316406,27404.3626081287
06037106112,709,1111,4920,14.4,22.6,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7381,34795935.4101563,48958.7063304225
06037106113,129,783,3743,3.4,20.9,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7382,15561539.0332031,19777.6737746915
06037106114,1731,3156,6929,25,45.5,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7383,10988107.5507813,17058.2661316265
06037106403,334,1128,3814,8.8,29.6,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7384,11902775.5966797,14300.038725537
06037106405,710,1319,4073,17.4,32.4,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7385,12580823.1289063,14491.0390638944
06037106406,234,1319,6292,3.7,21,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7386,21572409.7216797,20945.5523274769
06037106407,759,1427,2183,34.8,65.4,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7387,2497837.99414063,6355.49121102992
06037106408,1121,2004,3789,29.6,52.9,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7388,2465520.91699219,6295.50831200065
06037106510,833,1453,5373,15.5,27,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7389,62138891.1826172,36810.4174072868
06037106520,711,1412,5475,13,25.8,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7390,23742776.9794922,19779.1891837995
06037106603,209,699,3679,5.7,19,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7391,111070288.768555,48129.2464251955
06037106604,539,1026,4349,12.4,23.6,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7392,28109094.6132813,26134.1978001776
06037106641,136,262,2076,6.6,12.6,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7393,12439769.265625,18205.3184268086
06037106642,282,389,3484,8.1,11.2,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7394,16922656.171875,19793.7825956512
06037106643,120,299,4311,2.8,6.9,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7395,46652067.0527344,31847.0660361859
06037106645,190,308,3672,5.2,8.4,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7396,26946666.1367188,29643.9705810143
06037106646,169,587,2973,5.7,19.7,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7397,16141372.4765625,23002.4620379296
06037106648,633,1608,4698,13.5,34.2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7398,8770048.65917969,12817.0277743276
06037106649,133,457,2689,4.9,17,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7399,11900113.8681641,19875.8687603473
06037107010,128,938,2928,4.4,32,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7400,7378650.45117188,12969.8963760505
06037107020,907,2176,4921,18.4,44.2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7401,10674902.7763672,14598.594041933
06037108101,75,123,2128,3.5,5.8,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7402,12266855.5664063,14442.5173721992
06037108102,410,644,3474,11.8,18.5,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7403,23081371.0019531,18310.673940999
06037108103,193,386,3053,6.3,12.6,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7404,27776643.0498047,35922.726079898
06037108104,50,158,1754,2.9,9,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7405,9009471.14160156,14606.2062077058
06037108202,332,860,10191,3.3,8.4,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7406,64178248.4638672,35709.8831355136
06037108203,168,492,3157,5.3,15.6,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7407,14381515.4902344,16269.5127036231
06037108204,50,76,1782,2.8,4.3,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7408,16049102.4550781,21734.9878647895
06037109100,225,564,2554,8.8,22.1,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7409,29181021.1005859,26282.804034726
06037109200,157,289,2863,5.5,10.1,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7410,10956303.3769531,15922.32808023
06037109300,154,432,2895,5.3,14.9,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7411,13116617.7988281,17334.508574545
06037109400,197,905,3615,5.4,25,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7412,13685638.0449219,17525.934223217
06037109500,654,1540,3809,17.2,40.4,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7413,12907395.8847656,20454.3625085122
06037109601,384,1304,5042,7.6,25.9,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7414,24327553.3300781,20047.8650112953
06037109603,478,1160,4038,11.8,28.7,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7415,10751151.0771484,13424.2796976847
06037109604,295,568,2721,10.8,20.9,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7416,12653709.8955078,14351.5983047847
06037109700,228,850,4203,5.4,20.2,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7417,17187332.4287109,17925.4026288896
06037109800,467,872,4614,10.1,18.9,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7418,15020694.4951172,16573.9834328906
06037111100,216,763,2963,7.3,25.8,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7419,11389460.5732422,13559.3841736023
06037111201,268,450,3270,8.2,13.8,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7420,20422124.8144531,25160.05716791
06037111202,496,1185,5534,9,21.4,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7421,20088990.9599609,20750.4595212886
